Tag_Full,Value_String,Timestamp,DataType,Value_Numeric,Reason_No_Data
CH-ML:DDGSbuilding.Percent.Balling,8.350000381,2023-06-05T07:00:00.000Z,Numeric,8.350000381,
CH-ML:DDGSbuilding.Percent.Balling,11.10000038,2023-06-05T21:00:00.000Z,Numeric,11.10000038,
CH-ML:DDGSbuilding.Percent.Balling,9.399999619,2023-06-06T08:00:00.000Z,Numeric,9.399999619,
CH-ML:DDGSbuilding.Percent.Balling,15.10000038,2023-06-07T21:00:00.000Z,Numeric,15.10000038,
CH-ML:DDGSbuilding.Percent.Balling,13.10000038,2023-06-08T15:00:00.000Z,Numeric,13.10000038,
CH-ML:DDGSbuilding.Percent.Balling,7.710000038,2023-06-08T22:00:00.000Z,Numeric,7.710000038,
CH-ML:DDGSbuilding.Percent.Balling,17.70000076,2023-06-10T20:00:00.000Z,Numeric,17.70000076,
CH-ML:DDGSbuilding.Percent.Balling,9.729999542,2023-06-12T08:00:00.000Z,Numeric,9.729999542,
CH-ML:DDGSbuilding.Percent.Balling,10.80000019,2023-06-13T09:00:00.000Z,Numeric,10.80000019,
CH-ML:DDGSbuilding.Percent.Balling,6.630000114,2023-06-13T21:00:00.000Z,Numeric,6.630000114,
CH-ML:DDGSbuilding.Percent.Balling,11.89999962,2023-06-14T15:00:00.000Z,Numeric,11.89999962,
CH-ML:DDGSbuilding.Percent.Balling,7.800000191,2023-06-17T08:00:00.000Z,Numeric,7.800000191,
CH-ML:DDGSbuilding.Percent.Balling,7.199999809,2023-06-17T19:00:00.000Z,Numeric,7.199999809,
CH-ML:DDGSbuilding.Percent.Balling,7.46999979,2023-06-19T10:00:00.000Z,Numeric,7.46999979,
CH-ML:DDGSbuilding.Percent.Balling,8.899999619,2023-06-19T21:00:00.000Z,Numeric,8.899999619,
CH-ML:DDGSbuilding.Percent.Balling,9.600000381,2023-06-20T20:30:00.000Z,Numeric,9.600000381,
CH-ML:DDGSbuilding.Percent.Balling,4.460000038,2023-06-21T11:00:00.000Z,Numeric,4.460000038,
CH-ML:DDGSbuilding.Percent.Balling,2.099999905,2023-06-21T20:30:00.000Z,Numeric,2.099999905,
CH-ML:DDGSbuilding.Percent.Balling,3.299999952,2023-06-22T20:00:00.000Z,Numeric,3.299999952,
CH-ML:DDGSbuilding.Percent.Balling,3.299999952,2023-06-22T20:30:00.000Z,Numeric,3.299999952,
CH-ML:DDGSbuilding.Percent.Balling,4.559999943,2023-06-24T20:00:00.000Z,Numeric,4.559999943,
CH-ML:DDGSbuilding.Percent.Balling,4.670000076,2023-06-25T21:00:00.000Z,Numeric,4.670000076,
CH-ML:DDGSbuilding.Percent.Balling,4.400000095,2023-06-26T10:00:00.000Z,Numeric,4.400000095,
CH-ML:DDGSbuilding.Percent.Balling,6.409999847,2023-06-26T20:00:00.000Z,Numeric,6.409999847,
CH-ML:DDGSbuilding.Percent.Balling,4,2023-06-27T09:45:00.000Z,Numeric,4.0,
CH-ML:DDGSbuilding.Percent.Balling,7.099999905,2023-06-28T10:00:00.000Z,Numeric,7.099999905,
CH-ML:DDGSbuilding.Percent.Balling,7.630000114,2023-06-29T01:00:00.000Z,Numeric,7.630000114,
CH-ML:DDGSbuilding.Percent.Balling,7.539999962,2023-06-29T11:00:00.000Z,Numeric,7.539999962,
CH-ML:DDGSbuilding.Percent.Balling,6.150000095,2023-06-29T20:00:00.000Z,Numeric,6.150000095,
CH-ML:DDGSbuilding.Percent.Balling,5.300000191,2023-06-30T22:00:00.000Z,Numeric,5.300000191,
CH-ML:DDGSbuilding.Percent.Balling,6.550000191,2023-07-01T09:00:00.000Z,Numeric,6.550000191,
CH-ML:DDGSbuilding.Percent.Balling,4.5,2023-07-01T09:30:00.000Z,Numeric,4.5,
CH-ML:DDGSbuilding.Percent.Balling,18.46999931,2023-07-02T09:00:00.000Z,Numeric,18.46999931,
CH-ML:DDGSbuilding.Percent.Balling,13.69999981,2023-07-02T20:00:00.000Z,Numeric,13.69999981,
CH-ML:DDGSbuilding.Percent.Balling,13.10000038,2023-07-03T07:00:00.000Z,Numeric,13.10000038,
CH-ML:DDGSbuilding.Percent.Balling,9.050000191,2023-07-03T19:00:00.000Z,Numeric,9.050000191,
CH-ML:DDGSbuilding.Percent.Balling,12.14999962,2023-07-04T19:00:00.000Z,Numeric,12.14999962,
CH-ML:DDGSbuilding.Percent.Balling,13.19999981,2023-07-05T13:00:00.000Z,Numeric,13.19999981,
CH-ML:DDGSbuilding.Percent.Balling,16.48999977,2023-07-05T19:00:00.000Z,Numeric,16.48999977,
CH-ML:DDGSbuilding.Percent.Balling,12.81000042,2023-07-06T20:00:00.000Z,Numeric,12.81000042,
CH-ML:DDGSbuilding.Percent.Balling,5.239999771,2023-07-07T20:00:00.000Z,Numeric,5.239999771,
CH-ML:DDGSbuilding.Percent.Balling,6.860000134,2023-07-08T20:00:00.000Z,Numeric,6.860000134,
CH-ML:DDGSbuilding.Percent.Balling,9,2023-07-09T07:00:00.000Z,Numeric,9.0,
CH-ML:DDGSbuilding.Percent.Balling,6.300000191,2023-07-09T20:00:00.000Z,Numeric,6.300000191,
CH-ML:DDGSbuilding.Percent.Balling,9.31000042,2023-07-10T09:00:00.000Z,Numeric,9.31000042,
CH-ML:DDGSbuilding.Percent.Balling,15.22000027,2023-07-10T21:00:00.000Z,Numeric,15.22000027,
CH-ML:DDGSbuilding.Percent.Balling,15.32999992,2023-07-11T08:00:00.000Z,Numeric,15.32999992,
CH-ML:DDGSbuilding.Percent.Balling,5.5,2023-07-11T21:00:00.000Z,Numeric,5.5,
CH-ML:DDGSbuilding.Percent.Balling,6.03000021,2023-07-12T08:00:00.000Z,Numeric,6.03000021,
CH-ML:DDGSbuilding.Percent.Balling,11.07999992,2023-07-12T21:00:00.000Z,Numeric,11.07999992,
CH-ML:DDGSbuilding.Percent.Balling,4.300000191,2023-07-13T09:00:00.000Z,Numeric,4.300000191,
CH-ML:DDGSbuilding.Percent.Balling,9,2023-07-14T09:00:00.000Z,Numeric,9.0,
CH-ML:DDGSbuilding.Percent.Balling,6.800000191,2023-07-14T20:00:00.000Z,Numeric,6.800000191,
CH-ML:DDGSbuilding.Percent.Balling,9.279999733,2023-07-15T20:00:00.000Z,Numeric,9.279999733,
CH-ML:DDGSbuilding.Percent.Balling,9,2023-07-16T09:00:00.000Z,Numeric,9.0,
CH-ML:DDGSbuilding.Percent.Balling,7.639999866,2023-07-17T08:00:00.000Z,Numeric,7.639999866,
CH-ML:DDGSbuilding.Percent.Balling,1.100000024,2023-07-17T20:30:00.000Z,Numeric,1.100000024,
CH-ML:DDGSbuilding.Percent.Balling,7.309999943,2023-07-18T09:00:00.000Z,Numeric,7.309999943,
CH-ML:DDGSbuilding.Percent.Balling,5.099999905,2023-07-18T21:00:00.000Z,Numeric,5.099999905,
CH-ML:DDGSbuilding.Percent.Balling,12.60000038,2023-07-19T20:30:00.000Z,Numeric,12.60000038,
