Asset,Description,Location,IsProblematic,Preventative Maintenance,Plant Area,Parent,YTD Direct Costs,YTD Rolled Costs,Life Direct Costs,UniqueLocation,Life Rolled Costs
6706,"CONTROL CONCEPTS MODEL VA-06 (3/4"") AIRSWEEP; 316L",HY-18219A,No,,DRYER A,,0,$0.00,0,1,$0.00
6707,"CONTROL CONCEPTS MODEL VA-06 (3/4"") AIRSWEEP; 316L",HY-18219B,No,,DRYER A,,0,$0.00,90,1,$90.00
6708,"CONTROL CONCEPTS MODEL VA-06 (3/4"") AIRSWEEP; 316L",HY-18219C,No,,DRYER A,,0,$0.00,0,1,$0.00
6709,"CONTROL CONCEPTS MODEL VA-06 (3/4"") AIRSWEEP; 316L",HY-18219D,No,,DRYER A,,0,$0.00,0,1,$0.00
3697,LIMIT SWITCH - CLOSED,HZSC-18148,No,,DRYER A,,0,$0.00,0,1,$0.00
3701,LIMIT SWITCH,HZSC-18153,No,,DRYER A,,0,$0.00,0,1,$0.00
3703,LIMIT SWITCH,HZSC-18155,No,,DRYER A,,0,$0.00,0,1,$0.00
3705,LIMIT SWITCH,HZSC-18166,No,,DRYER A,,0,$0.00,0,1,$0.00
3706,LIMIT SWITCH,HZSC-18167,No,,DRYER A,,0,$0.00,0,1,$0.00
3728,LIMIT SWITCH,HZSC-18168,No,,DRYER A,,0,$0.00,0,1,$0.00
3729,LIMIT SWITCH,HZSC-18169,No,,DRYER A,,0,$0.00,0,1,$0.00
3740,LIMIT SWITCH,HZSC-18175A,No,,DRYER A,,0,$0.00,180,1,$180.00
3741,LIMIT SWITCH,HZSC-18175B,No,,DRYER A,,0,$0.00,0,1,$0.00
3742,LIMIT SWITCH,HZSC-18177A,No,,DRYER A,,0,$0.00,0,1,$0.00
3743,LIMIT SWITCH,HZSC-18177B,No,,DRYER A,,0,$0.00,0,1,$0.00
3731,LIMIT SWITCH,HZSC-18212,No,,DRYER A,,0,$0.00,0,1,$0.00
3733,LIMIT SWITCH,HZSC-18213,No,,DRYER A,,0,$0.00,0,1,$0.00
3744,LIMIT SWITCH,HZSC-18220A,No,,DRYER A,,0,$0.00,0,1,$0.00
3746,LIMIT SWITCH,HZSC-18220B,No,,DRYER A,,0,$0.00,0,1,$0.00
3748,LIMIT SWITCH - OPEN,HZSO-18148,No,,DRYER A,,0,$0.00,0,1,$0.00
3749,LIMIT SWITCH - OPEN,HZSO-18212,No,,DRYER A,,0,$0.00,0,1,$0.00
2540,SOLENOID TIMER BOARD,KS-18219,No,,DRYER A,,0,$0.00,0,1,$0.00
2899,DC-1802  (Bag House Timed Control Valve),KV-18801,No,,DDG,,0,$0.00,275,1,$275.00
2906,DC-1802  (Bag House Timed Valve Solenoid),KY-18801,No,,DDG,,0,$0.00,0,1,$0.00
3621,RF CAPACITANCE LEVEL SENSOR,LSH-18166A,No,,DRYER A,,0,$0.00,0,1,$0.00
3622,RF CAPACITANCE LEVEL SENSOR,LSH-18166B,No,,DRYER A,,0,$0.00,33.75,1,$33.75
3623,RF CAPACITANCE LEVEL SENSOR,LSH-18167A,No,,DRYER A,,0,$0.00,0,1,$0.00
3624,RF CAPACITANCE LEVEL SENSOR,LSH-18167B,No,,DRYER A,,0,$0.00,0,1,$0.00
3626,RF CAPACITANCE LEVEL SENSOR,LSH-18168A,No,,DRYER A,,0,$0.00,0,1,$0.00
3627,RF CAPACITANCE LEVEL SENSOR,LSH-18168B,No,,DRYER A,,0,$0.00,0,1,$0.00
3630,RF CAPACITANCE LEVEL SENSOR,LSH-18169A,No,,DRYER A,,0,$0.00,0,1,$0.00
3631,RF CAPACITANCE LEVEL SENSOR,LSH-18169B,No,,DRYER A,,0,$0.00,0,1,$0.00
3632,RF CAPACITANCE LEVEL SENSOR,LSH-18210,No,,DRYER A,,0,$0.00,0,1,$0.00
3633,RF CAPACITANCE LEVEL SENSOR,LSH-18214,No,,DRYER A,,0,$0.00,0,1,$0.00
3634,RF CAPACITANCE LEVEL SENSOR,LSH-18221,No,,DRYER A,,0,$0.00,303.75,1,$303.75
3067,DC-1802  (DDGS Product Bag Filter House Level Switch High),LSH-18801,No,,DDG,,45,$45.00,283,1,$283.00
3068,CY-1823 PRODUCT CYCLONE HIGH LEVEL,LSH-18802,No,,DDG,,84.5,$84.50,5183.79,1,"$5,183.79"
6935,"LEVEL SWITCH, MAGNETROL, v2r-d1b0-018",LSH-18909,No,,DDG,,0,$0.00,0,1,$0.00
3405,"HAMMERMILL, WILLIAMS, MODEL GP xxx,",MI-1801,No,,DDG,,15170.98,"$15,170.98",162306.43,1,"$162,306.43"
3569,DRYER D WET CAKE MIXER (MCC-3806),MX-1801D,No,,DRYER D,,0,$0.00,149480.98,1,"$149,480.98"
2568,DR-1826 - HIGH SPEED MIXER,MX-1827,No,,DRYER A,,0,$0.00,0,1,$0.00
2570,MOTOR / 150HP / 1200RPM / TEFC / 575V/3PH/60HZ / FRAME# 447T,MX-1827,No,,DRYER A,,0,$0.00,0,0,$0.00
1116,GOULDS PUMP 3196 MTX,P-1803D,No,,TGF,,0,$0.00,573.67,1,$573.67
1115,GOULDS PUMP 3196 STX,P-1804,No,,TGF,,0,$0.00,0,1,$0.00
2584,MOTOR / 5HP / 3461RPM / NEMA / 575V/3PH/60HZ / FRAME# 182TC,P-1836,No,,DRYER A,,0,$0.00,0,1,$0.00
2601,"PUMP, GRUNDFOS, VERTICAL, CR 15-2 A-GJ-A-E-HQQE",P-1836,No,,DRYER A,,0,$0.00,270,0,$270.00
6660,"PUMP, TACO, 1610-022s, IN-LINE PUMP",P-1837,Yes,,DRYER A,,0,$0.00,1590.26,1,"$1,590.26"
6661,MOTOR / 0.33HP / 1750RPM / TEFC / 575V/3PH/60HZ / FRAME# W56C,P-1837,Yes,,DRYER A,,0,$0.00,0,0,$0.00
1119,GOULDS PUMP 3196 XLTi,P-1840A,No,,DRYER A,,0,$0.00,5234,1,"$5,234.00"
1118,GOULDS PUMP 3196 XLTi,P-1840B,No,,DRYER A,,0,$0.00,4785,1,"$4,785.00"
1117,GOULDS PUMP 3196 MTi,P-1844,No,,DRYER A,,0,$0.00,841.25,1,$841.25
3669,CONDENSATE COLLECTOR TANK PUMP,P-1845,No,,DRYER A,,0,$0.00,0,1,$0.00
6743,"JAMESBURY 1-1/2"" RECA SEGMENTED V PORT BALL VALVE w/QPX1 ACTUATOR AND NELES 9103 POSITONER",PCV-18164,No,,DRYER A,,0,$0.00,713.64,1,$713.64
6711,DC-1834 Compressed Air Pressure Control Valve,PCV-18219,No,,DRYER A,,0,$0.00,0,1,$0.00
3856,DC-1802 (DDGS Product Bag Filter House Compressed Air Pressure Contol Valve),PCV-18802,No,,DDG,,0,$0.00,0,1,$0.00
3760,PRESSURE DIFFERENTIAL SWITCH,PDSL-18180,No,,DRYER A,,0,$0.00,3470,1,$0.00
3943,DC-1802  (DDGS Product Bag Filter House Pressure Differential Transmitter),PDT-18801,No,,DDG,,0,$0.00,833,1,$833.00
3778,"GAUGE, WIKA, MODEL 111.10, 1/4""NPT, 2-1/2"" DIAL, 0-100PSIG",PI-18112,No,,DRYER A,,0,$0.00,0,1,$0.00
3780,"GAUGE, WIKA, MODEL 111.10, 1/4""NPT, 2-1/2"" DIAL, 0-100PSIG",PI-18113,No,,DRYER A,,0,$0.00,0,1,$0.00
3786,"GAUGE, WIKA, MODEL 111.10, 1/4""NPT, 2-1/2"" DIAL, 0-100PSIG",PI-18114,No,,DRYER A,,0,$0.00,0,1,$0.00
3789,"GAUGE, WIKA, MODEL 111.10, 1/4""NPT, 2-1/2"" DIAL, 0-100PSIG",PI-18115,No,,DRYER A,,0,$0.00,0,1,$0.00
3813,"GAUGE, WIKA, MODEL 611.10, 1/4""NPT, 2-1/2"" DIAL, 0-100PSIG",PI-18116,No,,DRYER A,,0,$0.00,0,1,$0.00
3814,"GAUGE, WIKA, MODEL 611.10, 1/4""NPT, 2-1/2"" DIAL, 0-100PSIG",PI-18117,No,,DRYER A,,0,$0.00,0,1,$0.00
3815,PRESSURE INDICATOR,PI-18143,No,,DRYER A,,0,$0.00,0,1,$0.00
3816,PRESSURE INDICATOR,PI-18162,No,,DRYER A,,0,$0.00,0,1,$0.00
3817,PRESSURE INDICATOR,PI-18163,No,,DRYER A,,0,$0.00,0,1,$0.00
3818,PRESSURE INDICATOR,PI-18212,No,,DRYER A,,0,$0.00,0,1,$0.00
3819,PRESSURE INDICATOR,PI-18611,No,,DRYER A,,0,$0.00,0,1,$0.00
3821,PRESSURE INDICATOR,PI-18620,No,,DRYER A,,0,$0.00,0,1,$0.00
4053,DC-1802 (DDGS Product Bag Filter House Compressed Pressure Indicator),PI-18803,No,,DDG,,0,$0.00,0,1,$0.00
